Atom,Element,Coordination,bond ri (Å),angle θ0 (deg),distance,energy,scale ζ,charge Zi,Source,,Vi,Uj,Xi,Hardness,Radius
Pr8f4,Pr,8,1.83,109.47,3.606,0.01,12,3.3,UFF4MOF2,,,,,,
Pt4+2,Pt,4,1.364,90,2.754,0.08,12,3.382,UFF,,0,0.1,4.79,4.43,1.557
Pt4f2,Pt,4,1.125,90,2.754,0.08,12,3.382,UFF4MOF2,,,,,,
Pu6+4,Pu,6,1.657,90,3.424,0.016,12,3.9,UFF,,0,0,3.243,2.819,1.84
Ra6+2,Ra,6,2.512,90,3.677,0.404,12,2.92,UFF,,0,0,2.843,2.434,2.2
Rb,Rb,1,2.26,180,4.114,0.04,12,1.592,UFF,,0,0.2,2.331,1.846,2.77
Re3+7,Re,4,1.314,109.47,2.954,0.066,12,3.7,UFF,,0,0.1,3.96,3.92,1.6
Re6+5,Re,6,1.372,90,2.954,0.066,12,3.7,UFF,,0,0.1,3.96,3.92,1.6
Re6f3,Re,4,1.23,90,2.954,0.066,12,3.7,UFF4MOF2,,,,,,
Rh4f2,Rh,4,1.22,90,2.929,0.053,12,3.5,UFF4MOF2,,,,,,
Rh6+3,Rh,6,1.332,90,2.929,0.053,12,3.5,UFF,,0,0.2,3.975,4.005,1.509
Rn4+4,Rn,4,1.42,90,4.765,0.248,16,0.583,UFF,,0,0.1,5.37,5.37,2.2
Ru4f2,Ru,4,1.32,90,2.963,0.056,12,3.4,UFF4MOF2,,,,,,
Ru6+2,Ru,6,1.478,90,2.963,0.056,12,3.4,UFF,,0,0.2,3.575,4.015,1.5
S_2,S,3,0.854,120,4.035,0.274,13.969,2.703,UFF,,0,1.25,6.928,4.486,1.047
S_3_f,S,3,0.854,109.47,4.035,0.274,13.969,2.703,UFF4MOF2,,,,,,
S_3+2,S,4,1.064,92.1,4.035,0.274,13.969,2.703,UFF,,0.484,1.25,6.928,4.486,1.047
S_3+4,S,4,1.049,103.2,4.035,0.274,13.969,2.703,UFF,,0.484,1.25,6.928,4.486,1.047
S_3+6,S,4,1.027,109.47,4.035,0.274,13.969,2.703,UFF,,0.484,1.25,6.928,4.486,1.047
S_R,S,4,1.077,92.2,4.035,0.274,13.969,2.703,UFF,,0,1.25,6.928,4.486,1.047
Sb3+3,Sb,4,1.407,91.6,4.42,0.449,13,2.704,UFF,,1.1,0.2,4.899,3.342,1.404
Sc3+3,Sc,4,1.513,109.47,3.295,0.019,12,2.592,UFF,,0,0.7,3.395,3.08,1.75
Sc6+3,Sc,6,1.44,90,3.295,0.019,12,2.595,UFF4MOF,,,,,,
Se3+2,Se,4,1.19,90.6,4.205,0.291,14,2.764,UFF,,0.335,0.7,6.428,4.131,1.224
Si3,SI,4,1.117,109.47,4.295,0.402,12.175,2.323,UFF,,1.225,1.25,4.168,3.487,1.176
Sm6+3,Sm,6,1.78,90,3.52,0.008,12,3.3,UFF,,0,0.1,2.9115,2.7195,1.978
Sm8f4,Sm,8,1.78,109.47,3.52,0.008,12,3.3,UFF4MOF2,,,,,,
Sn3,Sn,4,1.398,109.47,4.392,0.567,12,2.961,UFF,,0.199,0.2,3.987,3.124,1.354
Sr6+2,Sr,6,2.052,90,3.641,0.235,12,2.449,UFF,,0,0.2,3.024,2.44,2.415
Sr8f4,Sr,8,1.82,109.47,3.641,0.235,12,2.449,UFF4MOF2,,,,,,
Ta3+5,Ta,4,1.511,109.47,3.17,0.081,12,4.075,UFF,,0,0.1,5.1,2.85,1.605
Tb6+3,Tb,6,1.732,90,3.451,0.007,12,3.3,UFF,,0,0.1,3.018,2.834,1.954
Tb8f4,Tb,8,1.64,109.47,3.451,0.007,12,3.3,UFF4MOF2,,,,,,
